alloc,,clusters,,tasksAlloc,,file
31,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_38, at2_10, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_18, at2_20, at2_22, at2_24, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation31.xml
32,,[[r2, r3, r1]],,{r2=[at2Rock_14, at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_10, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_2, at2_34, at2_36, at2_38, at2_18, at2_20, at2_22, at2_24, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation32.xml
33,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_36, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_38, at2_18, at2_20, at2_22, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation33.xml
34,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_22, at2_24, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_38, at2_18, at2_20, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation34.xml
35,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_24, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_38, at2_18, at2_20, at2_22, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation35.xml
36,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_20, at2_24, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_38, at2_18, at2_22, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation36.xml
37,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_18, at2_24, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_38, at2_20, at2_22, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation37.xml
38,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_34, at2_24, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_36, at2_38, at2_18, at2_20, at2_22, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation38.xml
39,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_38, at2_24, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_18, at2_20, at2_22, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation39.xml
40,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_36, at2_24, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_38, at2_18, at2_20, at2_22, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation40.xml
41,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_30, at2_24, at1Rock_11, at1Reef_29, at1Reef_7, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_38, at2_18, at2_20, at2_22, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_28, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation41.xml
42,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Rock_2, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_24, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_34, at2_36, at2_38, at2_18, at2_20, at2_22, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation42.xml
43,,[[r2, r3, r1]],,{r2=[at2Rock_14, at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_24, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_2, at2_34, at2_36, at2_38, at2_18, at2_20, at2_22, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation43.xml
44,,[[r2, r3, r1]],,{r2=[at2Rock_14, at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_34, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_2, at2_36, at2_38, at2_18, at2_20, at2_22, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation44.xml
45,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_20, at2_22, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_38, at2_18, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation45.xml
46,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_34, at2_22, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_36, at2_38, at2_18, at2_20, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation46.xml
47,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_18, at2_22, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_38, at2_20, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation47.xml
48,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_22, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_38, at2_18, at2_20, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation48.xml
49,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_38, at2_22, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_18, at2_20, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation49.xml
50,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_18, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_38, at2_20, at2_22, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation50.xml
51,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_36, at2_22, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_38, at2_18, at2_20, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation51.xml
52,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Rock_2, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_22, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_34, at2_36, at2_38, at2_18, at2_20, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation52.xml
53,,[[r2, r3, r1]],,{r2=[at2Rock_14, at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_22, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_2, at2_34, at2_36, at2_38, at2_18, at2_20, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation53.xml
54,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_34, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_36, at2_38, at2_18, at2_20, at2_22, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation54.xml
55,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_18, at2_20, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_38, at2_22, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation55.xml
56,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_34, at2_20, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_36, at2_38, at2_18, at2_22, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation56.xml
57,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_38, at2_20, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_18, at2_22, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation57.xml
58,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_20, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_36, at2_38, at2_18, at2_22, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation58.xml
59,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_36, at2_20, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2Rock_2, at2_34, at2_38, at2_18, at2_22, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation59.xml
60,,[[r2, r3, r1]],,{r2=[at2Rock_12, at2Rock_2, at2Reef_6, at2Reef_4, at2Reef_8, at2Reef_28, at2Reef_30, at2_20, at1Rock_11, at1Reef_29, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r3=[at2Rock_14, at2_34, at2_36, at2_38, at2_18, at2_22, at2_24, at2_10, at1Rock_1, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19], r1=[at2Rock_26, at2Reef_16, at2_32, at1Rock_13, at1Rock_25, at1Reef_27, at1Reef_3, at1Reef_15, at1Reef_7, at1Reef_5, at1_21, at1_23, at1_9, at1_31, at1_33, at1_35, at1_37, at1_17, at1_19]},,/Users/grisv/GitHub/KanoaV3/KanoaScheduler/KanoaTestbed/Hospital/AllRobotsDeployed/BoAlpha/Robots/BA-r3-19/results/Alloy//Allocation60.xml
