alloc,,robots,,perm,,reason,,time
2,,[r2, r3, r4, r5, r6, r7, r8],,[26, 624, 2, 1, 1, 1, 1],,noPlanSynthesised,,232689
2,,[r2, r3, r4, r5, r6, r7, r8],,[214, 16, 1, 1, 1, 1, 1],,noPlanSynthesised,,232695
2,,[r2, r3, r4, r5, r6, r7, r8],,[365, 304, 2, 1, 1, 1, 1],,noPlanSynthesised,,232700
2,,[r2, r3, r4, r5, r6, r7, r8],,[499, 405, 1, 1, 1, 1, 1],,noPlanSynthesised,,232705
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[5, 5, 1, 1, 2, 1, 1, 193],,noPlanSynthesised,,232939
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[1, 4, 1, 1, 2, 1, 1, 177],,noPlanSynthesised,,233026
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[6, 4, 1, 1, 2, 1, 1, 201],,noPlanSynthesised,,233063
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[2, 6, 1, 1, 2, 1, 1, 215],,noPlanSynthesised,,233098
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[2, 2, 1, 1, 2, 1, 1, 692],,noPlanSynthesised,,233156
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[6, 2, 1, 1, 1, 1, 1, 195],,noPlanSynthesised,,233179
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[3, 6, 1, 1, 1, 1, 1, 590],,noPlanSynthesised,,233209
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[5, 1, 1, 1, 1, 1, 1, 286],,noPlanSynthesised,,233233
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[6, 2, 1, 1, 1, 1, 1, 225],,noPlanSynthesised,,233250
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[4, 4, 1, 1, 2, 1, 1, 435],,noPlanSynthesised,,233275
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[2, 6, 1, 1, 2, 1, 1, 216],,noPlanSynthesised,,233316
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[4, 2, 1, 1, 1, 1, 1, 29],,noPlanSynthesised,,233344
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[1, 6, 1, 1, 2, 1, 1, 220],,noPlanSynthesised,,233363
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[5, 1, 1, 1, 1, 1, 1, 646],,noPlanSynthesised,,233391
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[1, 5, 1, 1, 2, 1, 1, 216],,noPlanSynthesised,,233429
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[5, 6, 1, 1, 2, 1, 1, 441],,noPlanSynthesised,,233450
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[3, 3, 1, 1, 2, 1, 1, 392],,noPlanSynthesised,,233491
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[6, 5, 1, 1, 2, 1, 1, 319],,noPlanSynthesised,,233517
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[5, 5, 1, 1, 2, 1, 1, 644],,noPlanSynthesised,,233536
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[6, 4, 1, 1, 1, 1, 1, 709],,noPlanSynthesised,,233559
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[4, 4, 1, 1, 1, 1, 1, 473],,noPlanSynthesised,,233576
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[6, 6, 1, 1, 1, 1, 1, 355],,noPlanSynthesised,,233594
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[5, 1, 1, 1, 1, 1, 1, 368],,noPlanSynthesised,,233729
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[6, 2, 1, 1, 1, 1, 1, 709],,noPlanSynthesised,,233747
3,,[r2, r3, r4, r5, r6, r7, r8, r1],,[6, 5, 1, 1, 2, 1, 1, 275],,noPlanSynthesised,,233774
