alloc,,robots,,permut,,attr,,time   (maxSucc value=prob. of failing times 100)
92,,[r2, r3, r1],,(1231223660,234,646765327),,{maxSucc=36.864053159734134, minTravel=684.0},,12024369
93,,[r2, r3, r1],,(1494613511,626,1833695589),,{maxSucc=36.86405315973412, minTravel=750.0},,12100391
93,,[r2, r3, r1],,(1267418966,31,1525356978),,{maxSucc=36.864053159734134, minTravel=626.0},,12140484
94,,[r2, r3, r1],,(1001474375,354,655717058),,{maxSucc=36.86405315973412, minTravel=635.0},,12294554
95,,[r2, r3, r1],,(1645726045,698,989934831),,{maxSucc=36.86405315973412, minTravel=695.0},,12425241
96,,[r2, r3, r1],,(344922910,712,1468539351),,{maxSucc=36.864053159734134, minTravel=693.0},,12530921
96,,[r2, r3, r1],,(1990451897,668,1059300523),,{maxSucc=36.86405315973415, minTravel=643.0},,12541175
96,,[r2, r3, r1],,(1820741557,699,47841447),,{maxSucc=36.86405315973412, minTravel=760.0},,12543702
97,,[r2, r3, r1],,(1009631489,190,185540121),,{maxSucc=36.864053159734134, minTravel=698.0},,12576338
97,,[r2, r3, r1],,(226874677,376,906684214),,{maxSucc=36.86405315973412, minTravel=710.0},,12677473
98,,[r2, r3, r1],,(1917248249,395,1182490303),,{maxSucc=36.86405315973412, minTravel=671.0},,12772679
98,,[r2, r3, r1],,(507231964,493,680291735),,{maxSucc=36.864053159734134, minTravel=617.0},,12779925
99,,[r2, r3, r1],,(186042714,399,1375829781),,{maxSucc=36.86405315973412, minTravel=744.0},,12840367
99,,[r2, r3, r1],,(892994135,75,848390007),,{maxSucc=36.864053159734134, minTravel=652.0},,12924098
100,,[r2, r3, r1],,(1713555705,103,1418473579),,{maxSucc=36.86405315973412, minTravel=736.0},,12988282
100,,[r2, r3, r1],,(1356801912,213,727114299),,{maxSucc=36.864053159734134, minTravel=659.0},,13004001
