alloc,,robots,,perm,,reason,,time
2,,[r2, r3, r4, r5, r6, r1],,[2, 1, 2, 1, 1, 299],,noPlanSynthesised,,81390
2,,[r2, r3, r4, r5, r6, r1],,[1, 5, 2, 1, 1, 236],,noPlanSynthesised,,81461
2,,[r2, r3, r4, r5, r6, r1],,[4, 4, 1, 1, 1, 450],,noPlanSynthesised,,81537
2,,[r2, r3, r4, r5, r6, r1],,[4, 1, 2, 1, 1, 435],,noPlanSynthesised,,81573
2,,[r2, r3, r4, r5, r6, r1],,[6, 3, 2, 1, 1, 604],,noPlanSynthesised,,81595
2,,[r2, r3, r4, r5, r6, r1],,[1, 5, 2, 1, 1, 387],,noPlanSynthesised,,81627
2,,[r2, r3, r4, r5, r6, r1],,[2, 3, 1, 1, 1, 551],,noPlanSynthesised,,81654
2,,[r2, r3, r4, r5, r6, r1],,[1, 3, 1, 1, 1, 43],,noPlanSynthesised,,82194
2,,[r2, r3, r4, r5, r6, r1],,[2, 2, 1, 1, 1, 669],,noPlanSynthesised,,82236
2,,[r2, r3, r4, r5, r6, r1],,[3, 4, 1, 1, 1, 193],,noPlanSynthesised,,82292
2,,[r2, r3, r4, r5, r6, r1],,[4, 1, 1, 1, 1, 272],,noPlanSynthesised,,82396
2,,[r2, r3, r4, r5, r6, r1],,[2, 6, 1, 1, 1, 168],,noPlanSynthesised,,82458
2,,[r2, r3, r4, r5, r6, r1],,[1, 1, 2, 1, 1, 446],,noPlanSynthesised,,82529
2,,[r2, r3, r4, r5, r6, r1],,[3, 6, 2, 1, 1, 537],,noPlanSynthesised,,82580
2,,[r2, r3, r4, r5, r6, r1],,[4, 6, 1, 1, 1, 524],,noPlanSynthesised,,82630
2,,[r2, r3, r4, r5, r6, r1],,[1, 1, 1, 1, 1, 419],,noPlanSynthesised,,82651
2,,[r2, r3, r4, r5, r6, r1],,[1, 2, 2, 1, 1, 655],,noPlanSynthesised,,82695
2,,[r2, r3, r4, r5, r6, r1],,[5, 5, 1, 1, 1, 57],,noPlanSynthesised,,82729
2,,[r2, r3, r4, r5, r6, r1],,[5, 2, 1, 1, 1, 182],,noPlanSynthesised,,82795
2,,[r2, r3, r4, r5, r6, r1],,[1, 1, 2, 1, 1, 15],,noPlanSynthesised,,82843
2,,[r2, r3, r4, r5, r6, r1],,[2, 2, 1, 1, 1, 681],,noPlanSynthesised,,82870
2,,[r2, r3, r4, r5, r6, r1],,[1, 4, 1, 1, 1, 236],,noPlanSynthesised,,82899
2,,[r2, r3, r4, r5, r6, r1],,[1, 6, 2, 1, 1, 552],,noPlanSynthesised,,82935
